SB 13BB
Hand,OS,OR,CALL,FOLD
7s6d,0,0,100,0
7s7d,0,0,100,0
7s2h,0,0,0,100
7s3h,0,0,25,75
7s4h,0,0,100,0
7s5h,0,0,100,0
7s6h,0,0,100,0
7s7h,0,0,100,0
7s2s,0,0,100,0
7s3s,0,25,75,0
7s4s,0,0,100,0
7s5s,0,0,100,0
7s6s,50,0,50,0
8s2c,0,0,0,100
8s3c,0,0,50,50
8s4c,0,0,100,0
8s5c,0,0,100,0
8s6c,0,0,100,0
8s7c,0,0,100,0
8s8c,0,0,100,0
8s2d,0,0,0,100
8s3d,0,0,50,50
8s4d,0,0,100,0
8s5d,0,0,100,0
8s6d,0,0,100,0
8s7d,0,0,100,0
8s8d,0,0,100,0
8s2h,0,0,0,100
8s3h,0,0,50,50
8s4h,0,0,100,0
8s5h,0,0,100,0
8s6h,0,0,100,0
8s7h,0,0,100,0
8s8h,0,0,100,0
8s2s,0,0,100,0
8s3s,0,25,75,0
8s4s,0,50,50,0
8s5s,0,0,100,0
8s6s,0,0,100,0
8s7s,75,25,0,0
9s2c,0,0,80,20
9s3c,0,0,100,0
9s4c,0,0,100,0
9s5c,0,25,75,0
9s6c,0,25,75,0
9s7c,0,25,75,0
9s8c,0,0,100,0
9s9c,0,25,75,0
9s2d,0,0,80,20
9s3d,0,0,100,0
9s4d,0,0,100,0
9s5d,0,25,75,0
9s6d,0,25,75,0
9s7d,0,25,75,0
9s8d,0,0,100,0
9s9d,0,25,75,0
9s2h,0,0,80,20
9s3h,0,0,100,0
9s4h,0,0,100,0
9s5h,0,25,75,0
9s6h,0,25,75,0
9s7h,0,25,75,0
9s8h,0,0,100,0
9s9h,0,25,75,0
9s2s,0,25,75,0
9s3s,0,25,75,0
9s4s,0,50,50,0
9s5s,0,0,100,0
9s6s,0,0,100,0
9s7s,25,0,75,0
9s8s,0,25,75,0
Ts2c,0,0,100,0
Ts3c,0,0,100,0
Ts4c,0,0,100,0
Ts5c,0,0,100,0
Ts6c,0,25,75,0
Ts7c,0,25,75,0
Ts8c,0,25,75,0
Ts9c,0,0,100,0
TsTc,0,25,75,0
Ts2d,0,0,100,0
Ts3d,0,0,100,0
Ts4d,0,0,100,0
Ts5d,0,0,100,0
Ts6d,0,25,75,0
Ts7d,0,25,75,0
Ts8d,0,25,75,0
Ts9d,0,0,100,0
TsTd,0,25,75,0
Ts2h,0,0,100,0
Ts3h,0,0,100,0
Ts4h,0,0,100,0
Ts5h,0,0,100,0
Ts6h,0,25,75,0
Ts7h,0,25,75,0
Ts8h,0,25,75,0
Ts9h,0,0,100,0
TsTh,0,25,75,0
Ts2s,0,0,100,0
Ts3s,0,25,75,0
Ts4s,0,0,100,0
Ts5s,0,25,75,0
Ts6s,0,0,100,0
Ts7s,0,0,100,0
Ts8s,0,25,75,0
Ts9s,0,25,75,0
Js2c,0,0,100,0
Js3c,0,0,100,0
Js4c,0,0,100,0
Js5c,0,25,75,0
Js6c,0,25,75,0
Js7c,0,25,75,0
Js8c,0,25,75,0
Js9c,0,0,100,0
JsTc,0,0,100,0
JsJc,0,0,100,0
Js2d,0,0,100,0
Js3d,0,0,100,0
Js4d,0,0,100,0
Js5d,0,25,75,0
Js6d,0,25,75,0
Js7d,0,25,75,0
Js8d,0,25,75,0
Js9d,0,0,100,0
JsTd,0,0,100,0
JsJd,0,0,100,0
Js2h,0,0,100,0
Js3h,0,0,100,0
Js4h,0,0,100,0
Js5h,0,25,75,0
Js6h,0,25,75,0
Js7h,0,25,75,0
Js8h,0,25,75,0
Js9h,0,0,100,0
JsTh,0,0,100,0
JsJh,0,0,100,0
Js2s,0,0,100,0
Js3s,0,0,100,0
Js4s,0,0,100,0
Js5s,0,0,100,0
Js6s,0,0,100,0
Js7s,0,0,100,0
Js8s,0,0,100,0
Js9s,0,25,75,0
JsTs,0,25,75,0
Qs2c,0,0,100,0
Qs3c,0,0,100,0
Qs4c,0,0,100,0
Qs5c,0,25,75,0
Qs6c,0,25,75,0
Qs7c,0,25,75,0
Qs8c,0,25,75,0
Qs9c,0,0,100,0
QsTc,0,25,75,0
QsJc,0,25,75,0
QsQc,0,25,75,0
Qs2d,0,0,100,0
Qs3d,0,0,100,0
Qs4d,0,0,100,0
Qs5d,0,25,75,0
Qs6d,0,25,75,0
Qs7d,0,25,75,0
Qs8d,0,25,75,0
Qs9d,0,0,100,0
QsTd,0,25,75,0
QsJd,0,25,75,0
QsQd,0,25,75,0
Qs2h,0,0,100,0
Qs3h,0,0,100,0
Qs4h,0,0,100,0
Qs5h,0,25,75,0
Qs6h,0,25,75,0
Qs7h,0,25,75,0
Qs8h,0,25,75,0
Qs9h,0,0,100,0
QsTh,0,25,75,0
QsJh,0,25,75,0
QsQh,0,25,75,0
Qs2s,0,0,100,0
Qs3s,0,0,100,0
Qs4s,0,0,100,0
Qs5s,0,0,100,0
Qs6s,0,0,100,0
Qs7s,0,0,100,0
Qs8s,75,0,25,0
Qs9s,0,0,100,0
QsTs,0,0,100,0
QsJs,0,0,100,0
Ks2c,0,0,100,0
Ks3c,0,0,100,0
Ks4c,0,0,100,0
Ks5c,0,25,75,0
Ks6c,0,25,75,0
Ks7c,0,25,75,0
Ks8c,0,25,75,0
Ks9c,0,25,75,0
KsTc,25,25,50,0
KsJc,0,25,75,0
KsQc,0,25,75,0
KsKc,0,25,75,0
Ks2d,0,0,100,0
Ks3d,0,0,100,0
Ks4d,0,0,100,0
Ks5d,0,25,75,0
Ks6d,0,25,75,0
Ks7d,0,25,75,0
Ks8d,0,25,75,0
Ks9d,0,25,75,0
KsTd,25,25,50,0
KsJd,0,25,75,0
KsQd,0,25,75,0
KsKd,0,25,75,0
Ks2h,0,0,100,0
Ks3h,0,0,100,0
Ks4h,0,0,100,0
Ks5h,0,25,75,0
Ks6h,0,25,75,0
Ks7h,0,25,75,0
Ks8h,0,25,75,0
Ks9h,0,25,75,0
KsTh,25,25,50,0
KsJh,0,25,75,0
KsQh,0,25,75,0
KsKh,0,25,75,0
Ks2s,0,0,100,0
Ks3s,0,0,100,0
Ks4s,0,0,100,0
Ks5s,50,0,50,0
Ks6s,75,0,25,0
Ks7s,0,0,100,0
Ks8s,0,0,100,0
Ks9s,0,0,100,0
KsTs,0,0,100,0
KsJs,0,0,100,0
KsQs,0,25,75,0
As2c,100,0,0,0
As3c,100,0,0,0
As4c,100,0,0,0
As5c,75,0,25,0
As6c,50,0,50,0
As7c,25,0,75,0
As8c,50,0,50,0
As9c,50,25,25,0
AsTc,0,0,100,0
AsJc,0,0,100,0
AsQc,0,25,75,0
AsKc,0,25,75,0
AsAc,0,75,25,0
As2d,100,0,0,0
As3d,100,0,0,0
As4d,100,0,0,0
As5d,75,0,25,0
As6d,50,0,50,0
As7d,25,0,75,0
As8d,50,0,50,0
As9d,50,25,25,0
AsTd,0,0,100,0
AsJd,0,0,100,0
AsQd,0,25,75,0
AsKd,0,25,75,0
AsAd,0,75,25,0
As2h,100,0,0,0
As3h,100,0,0,0
As4h,100,0,0,0
As5h,75,0,25,0
As6h,50,0,50,0
As7h,25,0,75,0
As8h,50,0,50,0
As9h,50,25,25,0
AsTh,0,0,100,0
AsJh,0,0,100,0
AsQh,0,25,75,0
AsKh,0,25,75,0
AsAh,0,75,25,0
As2s,50,0,50,0
As3s,0,0,100,0
As4s,0,0,100,0
As5s,0,0,100,0
As6s,0,0,100,0
As7s,0,25,75,0
As8s,0,25,75,0
As9s,0,50,50,0
AsTs,0,25,75,0
AsJs,0,25,75,0
AsQs,0,75,25,0
AsKs,0,75,25,0
